English	Japanese
Black Forest	シュヴァルツヴァルト
Black Kite	トビ
Black Sea	黒海
Black Stork	ナベコウ
Black body	黒体
Black hole	ブラックホール
Black pepper	コショウ
Blackbird	クロウタドリ
Blaise Pascal	ブレーズ・パスカル
Blender (software)	Blender
Blindness	失明
Blitzkrieg	電撃戦
Bloemfontein	ブルームフォンテーン
Blog	ブログ
Blood	血液
Blood plasma	血漿
Blood pressure	血圧
Blood type	血液型
Blood vessel	血管
Blue	青
Blue Whale	シロナガスクジラ
Blues	ブルース
Boar	イノシシ
Board game	ボードゲーム
Bob Dylan	ボブ・ディラン
Bob Marley	ボブ・マーリー
Bobby Fischer	ボビー・フィッシャー
Bobsleigh	ボブスレー
Bodhisattva	菩薩
Body mass index	ボディマス指数
Bodybuilding	ボディビル
Bohemia	ボヘミア
Bohrium	ボーリウム
Boiling point	沸点
Boise	ボイシ
Boletus edulis	ヤマドリタケ
Bolivia	ボリビア
Bolivia	Category:ボリビア
Bollywood	ボリウッド
Bologna	ボローニャ
Bolshevik	ボリシェヴィキ
Bolzano	ボルツァーノ
Bomb	爆弾
Bomber	爆撃機
Bombyx mori	カイコ
Bond (finance)	債券
Bone	骨
Bone marrow	骨髄
Bonn	ボン
Bonsai	盆栽
Book	本
Book of Esther	エステル記
Book of Joshua	ヨシュア記
Book of Judges	士師記
Book of Mormon	モルモン書
Book of Numbers	民数記
Book of Revelation	ヨハネの黙示録
Book of Ruth	ルツ記
Boolean algebra (structure)	ブール代数
Boomerang	ブーメラン
Bordeaux	ボルドー
Boris Godunov	ボリス・ゴドゥノフ
Boris Pasternak	ボリス・パステルナーク
Boris Spassky	ボリス・スパスキー
Borneo	ボルネオ島
Boron	ホウ素
Bosnia and Herzegovina	ボスニア・ヘルツェゴビナ
Bosnia and Herzegovina	Category:ボスニア・ヘルツェゴビナ
Boson	ボース粒子
Bosporus	ボスポラス海峡
Boston	ボストン
Boston Tea Party	ボストン茶会事件
Bot	Template:Bot
Botanical garden	植物園
Botany	植物学
Botany	Category:植物学
Botswana	ボツワナ
Botswana	Category:ボツワナ
Bottle	ボトル
Bottlenose Dolphin	ハンドウイルカ
Bourgeoisie	ブルジョワジー
Bourgogne	ブルゴーニュ地域圏
Bouvet Island	ブーベ島
Bovid	ウシ科
Bow (weapon)	弓 (武器)
Bowling	ボウリング
Boxer (dog)	ボクサー (犬)
Boxers	Category:ボクサー
Boxing	ボクシング
Boxing	Category:ボクシング
Boyle's law	ボイルの法則
Bracket	括弧
Braga	ブラガ
Brahma	ブラフマー
Brahmaputra River	ブラマプトラ川
Braille	点字
Brain	脳
Brainstorming	ブレインストーミング
Bram Stoker	ブラム・ストーカー
Brandenburg	ブランデンブルク州
Brandy	ブランデー
Brass	黄銅
Brassicaceae	アブラナ科
Brassiere	ブラジャー
Bratislava	ブラチスラヴァ
Braunschweig	ブラウンシュヴァイク
Brazil	ブラジル
Brazil	Category:ブラジル
Brazzaville	ブラザヴィル
Bread	パン
Breast	乳房
Breast cancer	乳癌
Bremen	ブレーメン
Bremen (state)	ブレーメン州
Bremerhaven	ブレーマーハーフェン
Brescia	ブレシア
Brest	ブレスト (フランス)
Brest	ブレスト (ベラルーシ)
Brest	ブレスト
Bretagne	ブルターニュ地域圏
Brick	煉瓦
Bridge	橋
Bridges	Category:橋
Bridgetown	ブリッジタウン
Brigade	旅団
Brighton	ブライトン
Brindisi	ブリンディジ
Brisbane	ブリスベン
Bristol	ブリストル
British Columbia	ブリティッシュコロンビア州
British Empire	イギリス帝国
British Isles	ブリテン諸島
British Virgin Islands	イギリス領ヴァージン諸島
British people	Category:イギリスの人物
Brno	ブルノ
Broadway (New York City)	ブロードウェイ (ニューヨーク)
Broccoli	ブロッコリー
Bromine	臭素
Bronze	青銅
Bronze Age	青銅器時代
Brooklyn	ブルックリン区
Brooklyn Bridge	ブルックリン橋
Brown	茶色
Brown Bear	ヒグマ
Brownian motion	ブラウン運動
Bruce Lee	ブルース・リー
Bruges	ブルッヘ
Brunei	ブルネイ
Brunei	Category:ブルネイ
Brussels	ブリュッセル
Bubonic plague	ペスト
Bucharest	ブカレスト
Buckingham Palace	バッキンガム宮殿
Buckminster Fuller	バックミンスター・フラー
Buckwheat	ソバ
Budapest	ブダペスト
Buddha	仏陀
Buddhism	仏教
Buddhism	Category:仏教
Buddy Holly	バディ・ホリー
Buenos Aires	ブエノスアイレス
Buffalo	バッファロー (ニューヨーク州)
Building	建築物
Bujumbura	ブジュンブラ
Bulgaria	ブルガリア
Bulgaria	Category:ブルガリア
Bumblebee	マルハナバチ属
Buoyancy	アルキメデスの原理
Bureaucracy	官僚制
Burgomaster	首長
Burkina Faso	ブルキナファソ
Burkina Faso	Category:ブルキナファソ
Burma	ミャンマー
Burma	Category:ミャンマー
Burqa	ブルカ
Bursa	ブルサ
Burundi	Category:ブルンジ
Bus	バス (交通機関)
Bus (computing)	バス (コンピュータ)
Business	ビジネス
Businesspeople	Category:実業家
Buster Keaton	バスター・キートン
Butane	ブタン
Butter	バター
Butterfly	チョウ
Butterfly effect	バタフライ効果
Bydgoszcz	ブィドゴシュチュ
Byte	バイト (情報)
Byzantine Empire	Category:東ローマ帝国
C	C
C (programming language)	C言語
C. S. Lewis	C・S・ルイス
CD (disambiguation)	CD (曖昧さ回避)
CHAOS (Linux distribution)	CHAOS
CN Tower	CNタワー
COBOL	COBOL
Cabaret	キャバレー
Cacao	カカオ
Cache	キャッシュ (コンピュータシステム)
Cactus	サボテン
Cadmium	カドミウム
Cadmus	カドモス
Caelum	ちょうこくぐ座
Caesium	セシウム
Caffeine	カフェイン
Cairo	カイロ (エジプト)
Cake	ケーキ
Calabria	カラブリア州
Calais	カレー (フランス)
Calcite	方解石
Calcium	カルシウム
Calcium carbonate	炭酸カルシウム
Calcium oxide	酸化カルシウム
Calculator	電卓
Calculus	微分積分学
Caldera	カルデラ
Calendar	暦
Caliber	口径
California	カリフォルニア州
California	Category:カリフォルニア州
Californium	カリホルニウム
Caligula	カリグラ
Caliph	カリフ
Calligraphy	カリグラフィー
Calliope	カリオペー
Callisto (moon)	カリスト (衛星)
Callisto (mythology)	カリストー
Calorie	カロリー
Calvados	カルヴァドス県
Calvary	ゴルゴタの丘
Calvin Coolidge	カルビン・クーリッジ
Calvinism	カルヴァン主義
Calypso (mythology)	カリュプソー
Cambodia	カンボジア
Cambodia	Category:カンボジア
Cambrian	カンブリア紀
Cambridge	ケンブリッジ
Cambridge	ケンブリッジ (マサチューセッツ州)
Cambridge (disambiguation)	ケンブリッジ (曖昧さ回避)
Camel	ラクダ
Camembert (cheese)	カマンベールチーズ
Camera	カメラ
Cameroon	カメルーン
Cameroon	Category:カメルーン
Campania	カンパニア州
Canada	カナダ
Canada	Category:カナダ
Canadian dollar	カナダドル
Canal	運河
Canary Islands	カナリア諸島
Canary Islands	Category:カナリア諸島
Canberra	キャンベラ
Cancer	悪性腫瘍
Cancer (constellation)	かに座
Candela	カンデラ
Candle	ろうそく
Canidae	イヌ科
Canis Major	おおいぬ座
Canis Minor	こいぬ座
Cannabis	アサ
Cannabis (drug)	大麻
Cannes	カンヌ
Cannibalism	カニバリズム
Cannon	カノン砲
Canoe	カヌー
Canon (company)	キヤノン
Canopus	カノープス
Cantata	カンタータ
Canterbury	カンタベリー
Cantonese (linguistics)	広東語
Canute the Great	クヌーズ1世 (デンマーク王)
Capacitance	静電容量
Capacitor	コンデンサ
Cape Canaveral	ケープカナベラル
Cape Horn	ホーン岬
Cape Town	ケープタウン
Cape Verde	カーボベルデ
Cape Verde	Category:カーボベルデ
Cape of Good Hope	喜望峰
Capital	首都
Capital (economics)	資本
Capital punishment	死刑
Capitalism	資本主義
Cappadocia	カッパドキア
Capricornus	やぎ座
Capsicum	トウガラシ属
Caracal	カラカル
Caracas	カラカス
Carambola	スターフルーツ
Carat (mass)	カラット
Carat (purity)	カラット
Caravaggio	ミケランジェロ・メリージ
Carbohydrate	炭水化物
Carbon	炭素
Carbon cycle	炭素循環
Carbon dioxide	二酸化炭素
Carbon monoxide	一酸化炭素
Carbonic acid	炭酸
Carboniferous	石炭紀
Carboxylic acid	カルボン酸
Carburetor	キャブレター
Card game	カードゲーム
Cardamom	カルダモン
Cardiff	カーディフ
Cardinal (Catholicism)	枢機卿
Cardinal Richelieu	リシュリュー
Cardiology	循環器学
Cardiology	Category:循環器学
Cardiovascular system	Category:循環器
Caribbean	西インド諸島
Caribbean	Category:カリブ海
Caribbean Sea	カリブ海
Caricature	戯画
Carina (constellation)	りゅうこつ座
Carl David Anderson	カール・デイヴィッド・アンダーソン
Carl Jung	カール・グスタフ・ユング
Carl Lewis	カール・ルイス
Carl Maria von Weber	カール・マリア・フォン・ウェーバー
Carl Orff	カール・オルフ
Carnival	謝肉祭
Carnivora	ネコ目
Carnivore	肉食動物
Carnivorous plant	食虫植物
Carolingian dynasty	カロリング朝
Carolus Linnaeus	カール・フォン・リンネ
Carpathian Mountains	カルパティア山脈
Carrot	ニンジン
Carson City	カーソンシティ (ネバダ州)
Cartagena	カルタヘナ
Cartesian coordinate system	直交座標系
Cartesian product	直積集合
Carthage	カルタゴ
Cartography	地図学
Cartography	Category:地図学
Cary Grant	ケーリー・グラント
Caryophyllales	ナデシコ目
Casablanca	カサブランカ
Cashew	カシューナッツ
Casino	カジノ
Caspian Sea	カスピ海
Cassandra	カッサンドラー
Cassiopeia (constellation)	カシオペヤ座
Cast iron	鋳鉄
Caste	カースト
Castile (historical region)	カスティーリャ
Castle	城
Castling	キャスリング
Castries	カストリーズ
Cat	ネコ
Catalonia	カタルーニャ州
Catalonia	Category:カタルーニャ州
Catalysis	触媒
Cataphract	カタフラクト
Cataract	白内障
Catfish	ナマズ目
Catharism	カタリ派
Cathedral	大聖堂
Catherine Parr	キャサリン・パー
Catherine of Aragon	キャサリン・オブ・アラゴン
Cathode	カソード
Catholicism	カトリシズム
Cattle	ウシ
Cattle Egret	アマサギ
Catullus	ガイウス・ウァレリウス・カトゥルス
Caucasus	カフカース
Caucasus	Category:カフカス
Caucasus Mountains	カフカース山脈
Cauliflower	カリフラワー
Causality	因果
Cavalry	騎兵
Cave	洞窟
Caviar	キャビア
Cayenne	カイエンヌ
Cayman Islands	ケイマン諸島
Cecil Rhodes	セシル・ローズ
Cedar	ヒマラヤスギ属
Celery	セロリ
Celestial equator	天の赤道
Celestial mechanics	Category:天体力学
Celestial mechanics	天体力学
Celestial sphere	天球
Celibacy	禁欲
Cell (biology)	細胞
Cell membrane	細胞膜
Cell nucleus	細胞核
Cell wall	細胞壁
Cello	チェロ
Cellulose	セルロース
Celsius	セルシウス度
Cement	セメント
Cemetery	墓地
Cenozoic	新生代
Census	国勢調査
Centaur	ケンタウロス
Centaurus	ケンタウルス座
Center of mass	重心
Centimetre	センチメートル
Central Africa	中部アフリカ
Central African Republic	中央アフリカ
Central African Republic	Category:中央アフリカ
Central America	中央アメリカ
Central America	Category:中央アメリカ
Central Intelligence Agency	アメリカ中央情報局
Central Park	セントラル・パーク
Central Powers	中央同盟国
Central bank	中央銀行
Central nervous system	中枢神経系
Central processing unit	CPU
Centre	サントル地域圏
Century	世紀
Cephalopod	頭足類
Cepheus (constellation)	ケフェウス座
Ceramic	セラミックス
Cerberus	ケルベロス
Cereal	穀物
Cerebellum	小脳
Ceres	セレス
Ceres (dwarf planet)	ケレス (準惑星)
Ceres (mythology)	ケレース
Cerium	セリウム
Cesare Borgia	チェーザレ・ボルジア
Cestoda	サナダムシ
Cetacea	クジラ目
Cetus	くじら座
Chad	チャド
Chad	Category:チャド
Chaffinch	ズアオアトリ
Chair	椅子
Chalcedony	玉髄
Chamaeleon	カメレオン座
Chamois	シャモア
Champagne (wine)	シャンパン
Champagne-Ardenne	シャンパーニュ＝アルデンヌ地域圏
Channel Tunnel	英仏海峡トンネル
Chaos (mythology)	カオス
Charadriiformes	チドリ目
Charlemagne	カール大帝
Charleroi	シャルルロワ
Charles	チャールズ (プリンス・オブ・ウェールズ)
Charles Baudelaire	シャルル・ボードレール
Charles Darwin	チャールズ・ダーウィン
Charles Dickens	チャールズ・ディケンズ
Charles Fourier	シャルル・フーリエ
Charles Lindbergh	チャールズ・リンドバーグ
Charles Peirce	チャールズ・サンダース・パース
Charles Thomson Rees Wilson	チャールズ・ウィルソン
Charles de Gaulle	シャルル・ド・ゴール
Charles the Bald	シャルル2世 (西フランク王)
Charleston	チャールストン (ウェストバージニア州)
Charlie Chaplin	チャールズ・チャップリン
Charlie Parker	チャーリー・パーカー
Charlotte	シャーロット (ノースカロライナ州)
Charmed	チャームド
Charon (moon)	カロン (衛星)
Charon (mythology)	カローン
Chartres	シャルトル
Chauvinism	排外主義
Che Guevara	チェ・ゲバラ
Chechnya	チェチェン共和国
Chechnya	Category:チェチェン
Cheese	チーズ
Cheetah	チーター
Chelyabinsk	チェリャビンスク
Chemical bond	化学結合
Chemical compound	化合物
Chemical element	元素
Chemical engineering	化学工学
Chemical formula	化学式
Chemical reaction	化学反応
Chemical warfare	化学兵器
Chemistry	化学
Chemistry	Category:化学
Chemistry	Portal:化学
Chemnitz	ケムニッツ
Chemotherapy	化学療法
Chennai	チェンナイ
Cheque	小切手
Chernobyl	チョルノーブィリ
Cherry	サクランボ
Chert	燧石
Cherub	智天使
Chess	チェス
Chess	Category:チェス
Chess opening	オープニング (チェス)
Chester A. Arthur	チェスター・A・アーサー
Chestnut	クリ
Chewing gum	チューインガム
Cheyenne	シャイアン (ワイオミング州)
Chi (letter)	Χ
Chiang Kai-shek	蒋介石
Chicago	シカゴ
Chicken	ニワトリ
Chickenpox	水痘
Chickpea	ヒヨコマメ
Chihuahua	チワワ州
Child	子供
Childbirth	分娩
Chile	チリ
Chile	Category:チリ
Chimborazo (volcano)	チンボラソ
Chimera (mythology)	キマイラ
Chimpanzee	チンパンジー属
China	Category:中国
China	中国
Chios	キオス
Chiron	ケイローン
Chitin	キチン質
Chlorine	塩素
Chloroform	クロロホルム
Chlorophyll	クロロフィル
Chloroplast	葉緑体
Chocolate	チョコレート
Choir	合唱
Cholera	コレラ
Cholesterol	コレステロール
Chondrichthyes	軟骨魚綱
Chongqing	重慶市
Chord (music)	和音
Chordate	脊索動物
Christchurch	クライストチャーチ
Christiaan Huygens	クリスティアーン・ホイヘンス
Christian Dior	クリスチャン・ディオール
Christianity	キリスト教
Christianity	Category:キリスト教
Christmas	クリスマス
Christmas	Category:クリスマス
Christmas Eve	クリスマス・イヴ
Christmas tree	クリスマスツリー
Christopher Columbus	クリストファー・コロンブス
Christopher Marlowe	クリストファー・マーロウ
Chromatin	クロマチン
Chromatography	クロマトグラフィー
Chromium	クロム
Chromosome	染色体
Chuck Berry	チャック・ベリー
Chukchi Sea	チュクチ海
Church	教会
Church (building)	教会堂
Church of England	イングランド国教会
Cicero	マルクス・トゥッリウス・キケロ
Ciconiiformes	コウノトリ目
Cider	シードル
Cigarette	紙巻きタバコ
Cinderella	シンデレラ
Cinnabar	辰砂
Cinnamon	シナモン
Circe	キルケー
Circinus	コンパス座
Circle	円 (数学)
Circulatory system	循環器
Circumcision	割礼
