English	Lithuanian
Binary star	Dvinarė žvaigždė
Binoculars	Žiūronai
Biochemistry	Biochemija
Biochemistry	Kategorija:Biochemija
Biodiversity	Bioįvairovė
Biogeography	Biogeografija
Biography	Biografija
Biological warfare	Biologinis ginklas
Biology	Biologija
Biology	Kategorija:Biologija
Biology	Wikipedia:Biologija
Biome	Biomas
Biophysics	Biofizika
Biosphere	Biosfera
Biotechnology	Biotechnologija
Biotechnology	Kategorija:Biotechnologija
Biotin	Biotinas
Bipolar disorder	Maniakinė depresija
Birch	Beržas
Bird	Paukščiai
Birmingham	Birmingamas (JAV)
Birth control	Kontracepcija
Bisexuality	Biseksualumas
Bishkek	Biškekas
Bishop	Vyskupas
Bishop (chess)	Rikis (šachmatai)
Bismarck (disambiguation)	Bismarkas
Bismuth	Bismutas
Bissau	Bisau
Bit	Bitas
Bithynia	Bitinija
Bivalvia	Dvigeldžiai
Black	Juoda
Black Death	Juodoji mirtis
Black Forest	Švarcvaldas
Black Kite	Juodasis peslys
Black Sea	Juodoji jūra
Black Stork	Juodasis gandras
Black body	Absoliučiai juodas kūnas
Black hole	Juodoji skylė
Blackbird	Juodasis strazdas
Blaise Pascal	Blaise Pascal
Blender (software)	Blender
Blitzkrieg	Blickrygas
Bloemfontein	Blumfonteinas
Blog	Tinklaraštis
Blood	Kraujas
Blood pressure	Kraujospūdis
Blood type	Kraujo grupė
Blood vessel	Kraujagyslė
Blue	Mėlyna
Blue Whale	Mėlynasis banginis
Blues	Bliuzas
Boar	Šernas
Board game	Stalo žaidimai
Bobby Fischer	Robert James Fischer
Bobsleigh	Ledrogių sportas
Body mass index	Kūno masės indeksas
Bodybuilding	Kultūrizmas
Bohemia	Bohemija
Bohrium	Boris
Boiling point	Virimo temperatūra
Boise	Boizis
Boletus edulis	Tikrinis baravykas
Bolivia	Bolivija
Bolivia	Kategorija:Bolivija
Bologna	Bolonija
Bolshevik	Bolševikas
Bolzano	Bolcanas
Bomb	Bomba
Bomber	Bombonešis
Bombyx mori	Šilkverpis
