Japanese	English
シュヴァルツヴァルト	Black Forest
トビ	Black Kite
黒海	Black Sea
ナベコウ	Black Stork
黒体	Black body
ブラックホール	Black hole
コショウ	Black pepper
クロウタドリ	Blackbird
ブレーズ・パスカル	Blaise Pascal
Blender	Blender (software)
失明	Blindness
電撃戦	Blitzkrieg
ブルームフォンテーン	Bloemfontein
ブログ	Blog
血液	Blood
血漿	Blood plasma
血圧	Blood pressure
血液型	Blood type
血管	Blood vessel
青	Blue
シロナガスクジラ	Blue Whale
ブルース	Blues
イノシシ	Boar
ボードゲーム	Board game
ボブ・ディラン	Bob Dylan
ボブ・マーリー	Bob Marley
ボビー・フィッシャー	Bobby Fischer
ボブスレー	Bobsleigh
菩薩	Bodhisattva
ボディマス指数	Body mass index
ボディビル	Bodybuilding
ボヘミア	Bohemia
ボーリウム	Bohrium
沸点	Boiling point
ボイシ	Boise
ヤマドリタケ	Boletus edulis
ボリビア	Bolivia
Category:ボリビア	Bolivia
ボリウッド	Bollywood
ボローニャ	Bologna
ボリシェヴィキ	Bolshevik
ボルツァーノ	Bolzano
爆弾	Bomb
爆撃機	Bomber
カイコ	Bombyx mori
債券	Bond (finance)
骨	Bone
骨髄	Bone marrow
ボン	Bonn
盆栽	Bonsai
本	Book
エステル記	Book of Esther
ヨシュア記	Book of Joshua
士師記	Book of Judges
モルモン書	Book of Mormon
民数記	Book of Numbers
ヨハネの黙示録	Book of Revelation
ルツ記	Book of Ruth
ブール代数	Boolean algebra (structure)
ブーメラン	Boomerang
ボルドー	Bordeaux
ボリス・ゴドゥノフ	Boris Godunov
ボリス・パステルナーク	Boris Pasternak
ボリス・スパスキー	Boris Spassky
ボルネオ島	Borneo
ホウ素	Boron
ボスニア・ヘルツェゴビナ	Bosnia and Herzegovina
Category:ボスニア・ヘルツェゴビナ	Bosnia and Herzegovina
ボース粒子	Boson
ボスポラス海峡	Bosporus
ボストン	Boston
ボストン茶会事件	Boston Tea Party
Template:Bot	Bot
植物園	Botanical garden
植物学	Botany
Category:植物学	Botany
ボツワナ	Botswana
Category:ボツワナ	Botswana
ボトル	Bottle
ハンドウイルカ	Bottlenose Dolphin
ブルジョワジー	Bourgeoisie
ブルゴーニュ地域圏	Bourgogne
ブーベ島	Bouvet Island
ウシ科	Bovid
弓 (武器)	Bow (weapon)
ボウリング	Bowling
ボクサー (犬)	Boxer (dog)
Category:ボクサー	Boxers
ボクシング	Boxing
Category:ボクシング	Boxing
ボイルの法則	Boyle's law
括弧	Bracket
ブラガ	Braga
ブラフマー	Brahma
ブラマプトラ川	Brahmaputra River
点字	Braille
脳	Brain
ブレインストーミング	Brainstorming
ブラム・ストーカー	Bram Stoker
ブランデンブルク州	Brandenburg
ブランデー	Brandy
黄銅	Brass
アブラナ科	Brassicaceae
ブラジャー	Brassiere
ブラチスラヴァ	Bratislava
ブラウンシュヴァイク	Braunschweig
ブラジル	Brazil
Category:ブラジル	Brazil
ブラザヴィル	Brazzaville
パン	Bread
乳房	Breast
乳癌	Breast cancer
ブレーメン	Bremen
ブレーメン州	Bremen (state)
ブレーマーハーフェン	Bremerhaven
ブレシア	Brescia
ブレスト (フランス)	Brest
ブレスト (ベラルーシ)	Brest
ブレスト	Brest
ブルターニュ地域圏	Bretagne
煉瓦	Brick
橋	Bridge
Category:橋	Bridges
ブリッジタウン	Bridgetown
旅団	Brigade
ブライトン	Brighton
ブリンディジ	Brindisi
ブリスベン	Brisbane
ブリストル	Bristol
ブリティッシュコロンビア州	British Columbia
イギリス帝国	British Empire
ブリテン諸島	British Isles
イギリス領ヴァージン諸島	British Virgin Islands
Category:イギリスの人物	British people
ブルノ	Brno
ブロードウェイ (ニューヨーク)	Broadway (New York City)
ブロッコリー	Broccoli
臭素	Bromine
青銅	Bronze
青銅器時代	Bronze Age
ブルックリン区	Brooklyn
ブルックリン橋	Brooklyn Bridge
茶色	Brown
ヒグマ	Brown Bear
ブラウン運動	Brownian motion
ブルース・リー	Bruce Lee
ブルッヘ	Bruges
ブルネイ	Brunei
Category:ブルネイ	Brunei
ブリュッセル	Brussels
ペスト	Bubonic plague
ブカレスト	Bucharest
バッキンガム宮殿	Buckingham Palace
バックミンスター・フラー	Buckminster Fuller
ソバ	Buckwheat
ブダペスト	Budapest
仏陀	Buddha
仏教	Buddhism
Category:仏教	Buddhism
バディ・ホリー	Buddy Holly
ブエノスアイレス	Buenos Aires
バッファロー (ニューヨーク州)	Buffalo
建築物	Building
ブジュンブラ	Bujumbura
ブルガリア	Bulgaria
Category:ブルガリア	Bulgaria
マルハナバチ属	Bumblebee
アルキメデスの原理	Buoyancy
官僚制	Bureaucracy
首長	Burgomaster
ブルキナファソ	Burkina Faso
Category:ブルキナファソ	Burkina Faso
ミャンマー	Burma
Category:ミャンマー	Burma
ブルカ	Burqa
ブルサ	Bursa
Category:ブルンジ	Burundi
バス (交通機関)	Bus
バス (コンピュータ)	Bus (computing)
ビジネス	Business
Category:実業家	Businesspeople
バスター・キートン	Buster Keaton
ブタン	Butane
バター	Butter
チョウ	Butterfly
バタフライ効果	Butterfly effect
ブィドゴシュチュ	Bydgoszcz
バイト (情報)	Byte
Category:東ローマ帝国	Byzantine Empire
C	C
C言語	C (programming language)
C・S・ルイス	C. S. Lewis
CD (曖昧さ回避)	CD (disambiguation)
CHAOS	CHAOS (Linux distribution)
CNタワー	CN Tower
COBOL	COBOL
キャバレー	Cabaret
カカオ	Cacao
キャッシュ (コンピュータシステム)	Cache
サボテン	Cactus
カドミウム	Cadmium
カドモス	Cadmus
ちょうこくぐ座	Caelum
セシウム	Caesium
カフェイン	Caffeine
カイロ (エジプト)	Cairo
ケーキ	Cake
カラブリア州	Calabria
カレー (フランス)	Calais
方解石	Calcite
カルシウム	Calcium
炭酸カルシウム	Calcium carbonate
酸化カルシウム	Calcium oxide
電卓	Calculator
微分積分学	Calculus
カルデラ	Caldera
暦	Calendar
口径	Caliber
カリフォルニア州	California
Category:カリフォルニア州	California
カリホルニウム	Californium
カリグラ	Caligula
カリフ	Caliph
カリグラフィー	Calligraphy
カリオペー	Calliope
カリスト (衛星)	Callisto (moon)
カリストー	Callisto (mythology)
カロリー	Calorie
カルヴァドス県	Calvados
ゴルゴタの丘	Calvary
カルビン・クーリッジ	Calvin Coolidge
カルヴァン主義	Calvinism
カリュプソー	Calypso (mythology)
カンボジア	Cambodia
Category:カンボジア	Cambodia
カンブリア紀	Cambrian
ケンブリッジ	Cambridge
ケンブリッジ (マサチューセッツ州)	Cambridge
ケンブリッジ (曖昧さ回避)	Cambridge (disambiguation)
ラクダ	Camel
カマンベールチーズ	Camembert (cheese)
カメラ	Camera
カメルーン	Cameroon
Category:カメルーン	Cameroon
カンパニア州	Campania
カナダ	Canada
Category:カナダ	Canada
カナダドル	Canadian dollar
運河	Canal
カナリア諸島	Canary Islands
Category:カナリア諸島	Canary Islands
キャンベラ	Canberra
悪性腫瘍	Cancer
かに座	Cancer (constellation)
カンデラ	Candela
ろうそく	Candle
イヌ科	Canidae
おおいぬ座	Canis Major
こいぬ座	Canis Minor
アサ	Cannabis
大麻	Cannabis (drug)
カンヌ	Cannes
カニバリズム	Cannibalism
カノン砲	Cannon
カヌー	Canoe
キヤノン	Canon (company)
カノープス	Canopus
カンタータ	Cantata
カンタベリー	Canterbury
広東語	Cantonese (linguistics)
クヌーズ1世 (デンマーク王)	Canute the Great
静電容量	Capacitance
コンデンサ	Capacitor
ケープカナベラル	Cape Canaveral
ホーン岬	Cape Horn
ケープタウン	Cape Town
カーボベルデ	Cape Verde
Category:カーボベルデ	Cape Verde
喜望峰	Cape of Good Hope
首都	Capital
資本	Capital (economics)
死刑	Capital punishment
資本主義	Capitalism
カッパドキア	Cappadocia
やぎ座	Capricornus
トウガラシ属	Capsicum
カラカル	Caracal
カラカス	Caracas
スターフルーツ	Carambola
カラット	Carat (mass)
カラット	Carat (purity)
ミケランジェロ・メリージ	Caravaggio
炭水化物	Carbohydrate
炭素	Carbon
炭素循環	Carbon cycle
二酸化炭素	Carbon dioxide
一酸化炭素	Carbon monoxide
炭酸	Carbonic acid
石炭紀	Carboniferous
カルボン酸	Carboxylic acid
キャブレター	Carburetor
カードゲーム	Card game
カルダモン	Cardamom
カーディフ	Cardiff
枢機卿	Cardinal (Catholicism)
リシュリュー	Cardinal Richelieu
循環器学	Cardiology
Category:循環器学	Cardiology
Category:循環器	Cardiovascular system
西インド諸島	Caribbean
Category:カリブ海	Caribbean
カリブ海	Caribbean Sea
戯画	Caricature
りゅうこつ座	Carina (constellation)
カール・デイヴィッド・アンダーソン	Carl David Anderson
カール・グスタフ・ユング	Carl Jung
カール・ルイス	Carl Lewis
カール・マリア・フォン・ウェーバー	Carl Maria von Weber
カール・オルフ	Carl Orff
謝肉祭	Carnival
ネコ目	Carnivora
肉食動物	Carnivore
食虫植物	Carnivorous plant
カロリング朝	Carolingian dynasty
カール・フォン・リンネ	Carolus Linnaeus
カルパティア山脈	Carpathian Mountains
ニンジン	Carrot
カーソンシティ (ネバダ州)	Carson City
カルタヘナ	Cartagena
直交座標系	Cartesian coordinate system
直積集合	Cartesian product
カルタゴ	Carthage
地図学	Cartography
Category:地図学	Cartography
ケーリー・グラント	Cary Grant
ナデシコ目	Caryophyllales
カサブランカ	Casablanca
カシューナッツ	Cashew
カジノ	Casino
カスピ海	Caspian Sea
カッサンドラー	Cassandra
カシオペヤ座	Cassiopeia (constellation)
鋳鉄	Cast iron
カースト	Caste
カスティーリャ	Castile (historical region)
城	Castle
キャスリング	Castling
カストリーズ	Castries
ネコ	Cat
カタルーニャ州	Catalonia
Category:カタルーニャ州	Catalonia
触媒	Catalysis
カタフラクト	Cataphract
白内障	Cataract
ナマズ目	Catfish
カタリ派	Catharism
大聖堂	Cathedral
キャサリン・パー	Catherine Parr
キャサリン・オブ・アラゴン	Catherine of Aragon
カソード	Cathode
カトリシズム	Catholicism
ウシ	Cattle
アマサギ	Cattle Egret
ガイウス・ウァレリウス・カトゥルス	Catullus
カフカース	Caucasus
Category:カフカス	Caucasus
カフカース山脈	Caucasus Mountains
カリフラワー	Cauliflower
因果	Causality
騎兵	Cavalry
洞窟	Cave
キャビア	Caviar
カイエンヌ	Cayenne
ケイマン諸島	Cayman Islands
セシル・ローズ	Cecil Rhodes
ヒマラヤスギ属	Cedar
セロリ	Celery
天の赤道	Celestial equator
Category:天体力学	Celestial mechanics
天体力学	Celestial mechanics
天球	Celestial sphere
禁欲	Celibacy
細胞	Cell (biology)
細胞膜	Cell membrane
細胞核	Cell nucleus
細胞壁	Cell wall
チェロ	Cello
セルロース	Cellulose
セルシウス度	Celsius
セメント	Cement
墓地	Cemetery
新生代	Cenozoic
国勢調査	Census
ケンタウロス	Centaur
ケンタウルス座	Centaurus
重心	Center of mass
センチメートル	Centimetre
中部アフリカ	Central Africa
中央アフリカ	Central African Republic
Category:中央アフリカ	Central African Republic
中央アメリカ	Central America
Category:中央アメリカ	Central America
アメリカ中央情報局	Central Intelligence Agency
セントラル・パーク	Central Park
中央同盟国	Central Powers
中央銀行	Central bank
中枢神経系	Central nervous system
CPU	Central processing unit
サントル地域圏	Centre
世紀	Century
頭足類	Cephalopod
ケフェウス座	Cepheus (constellation)
セラミックス	Ceramic
ケルベロス	Cerberus
穀物	Cereal
小脳	Cerebellum
セレス	Ceres
ケレス (準惑星)	Ceres (dwarf planet)
ケレース	Ceres (mythology)
セリウム	Cerium
チェーザレ・ボルジア	Cesare Borgia
サナダムシ	Cestoda
クジラ目	Cetacea
くじら座	Cetus
チャド	Chad
Category:チャド	Chad
ズアオアトリ	Chaffinch
椅子	Chair
玉髄	Chalcedony
カメレオン座	Chamaeleon
シャモア	Chamois
シャンパン	Champagne (wine)
シャンパーニュ＝アルデンヌ地域圏	Champagne-Ardenne
英仏海峡トンネル	Channel Tunnel
カオス	Chaos (mythology)
チドリ目	Charadriiformes
カール大帝	Charlemagne
シャルルロワ	Charleroi
チャールズ (プリンス・オブ・ウェールズ)	Charles
シャルル・ボードレール	Charles Baudelaire
チャールズ・ダーウィン	Charles Darwin
チャールズ・ディケンズ	Charles Dickens
シャルル・フーリエ	Charles Fourier
チャールズ・リンドバーグ	Charles Lindbergh
チャールズ・サンダース・パース	Charles Peirce
チャールズ・ウィルソン	Charles Thomson Rees Wilson
シャルル・ド・ゴール	Charles de Gaulle
シャルル2世 (西フランク王)	Charles the Bald
チャールストン (ウェストバージニア州)	Charleston
チャールズ・チャップリン	Charlie Chaplin
チャーリー・パーカー	Charlie Parker
シャーロット (ノースカロライナ州)	Charlotte
チャームド	Charmed
カロン (衛星)	Charon (moon)
カローン	Charon (mythology)
シャルトル	Chartres
排外主義	Chauvinism
チェ・ゲバラ	Che Guevara
チェチェン共和国	Chechnya
Category:チェチェン	Chechnya
チーズ	Cheese
チーター	Cheetah
チェリャビンスク	Chelyabinsk
化学結合	Chemical bond
化合物	Chemical compound
元素	Chemical element
化学工学	Chemical engineering
化学式	Chemical formula
化学反応	Chemical reaction
化学兵器	Chemical warfare
化学	Chemistry
Category:化学	Chemistry
Portal:化学	Chemistry
ケムニッツ	Chemnitz
化学療法	Chemotherapy
チェンナイ	Chennai
小切手	Cheque
チョルノーブィリ	Chernobyl
サクランボ	Cherry
燧石	Chert
智天使	Cherub
チェス	Chess
Category:チェス	Chess
オープニング (チェス)	Chess opening
チェスター・A・アーサー	Chester A. Arthur
クリ	Chestnut
チューインガム	Chewing gum
シャイアン (ワイオミング州)	Cheyenne
Χ	Chi (letter)
蒋介石	Chiang Kai-shek
シカゴ	Chicago
ニワトリ	Chicken
水痘	Chickenpox
ヒヨコマメ	Chickpea
チワワ州	Chihuahua
子供	Child
分娩	Childbirth
チリ	Chile
Category:チリ	Chile
チンボラソ	Chimborazo (volcano)
キマイラ	Chimera (mythology)
チンパンジー属	Chimpanzee
Category:中国	China
中国	China
キオス	Chios
ケイローン	Chiron
キチン質	Chitin
塩素	Chlorine
クロロホルム	Chloroform
クロロフィル	Chlorophyll
葉緑体	Chloroplast
チョコレート	Chocolate
合唱	Choir
コレラ	Cholera
コレステロール	Cholesterol
軟骨魚綱	Chondrichthyes
重慶市	Chongqing
和音	Chord (music)
脊索動物	Chordate
クライストチャーチ	Christchurch
クリスティアーン・ホイヘンス	Christiaan Huygens
クリスチャン・ディオール	Christian Dior
キリスト教	Christianity
Category:キリスト教	Christianity
クリスマス	Christmas
Category:クリスマス	Christmas
クリスマス・イヴ	Christmas Eve
クリスマスツリー	Christmas tree
クリストファー・コロンブス	Christopher Columbus
クリストファー・マーロウ	Christopher Marlowe
クロマチン	Chromatin
クロマトグラフィー	Chromatography
クロム	Chromium
染色体	Chromosome
チャック・ベリー	Chuck Berry
チュクチ海	Chukchi Sea
教会	Church
教会堂	Church (building)
イングランド国教会	Church of England
マルクス・トゥッリウス・キケロ	Cicero
コウノトリ目	Ciconiiformes
シードル	Cider
紙巻きタバコ	Cigarette
シンデレラ	Cinderella
辰砂	Cinnabar
シナモン	Cinnamon
キルケー	Circe
コンパス座	Circinus
円 (数学)	Circle
循環器	Circulatory system
割礼	Circumcision
