Finnish	English
Auktoriteetti	Authority
Autismi	Autism
Autourheilu	Auto racing
Omaelämäkerta	Autobiography
Pankkiautomaatti	Automated teller machine
Auto	Automobile
Autonominen hermosto	Autonomic nervous system
Syksy	Autumn
Auvergne	Auvergne (region)
Lumivyöry	Avalanche
Avantgarde	Avant-garde
Avatar (hindulaisuus)	Avatar
Kaurat	Avena
Averroës	Averroes
Avesta	Avesta
Luokka:Ilmailu	Aviation
Ilmailu	Aviation
Avicenna	Avicenna
Avignon	Avignon
Avokado	Avocado
Avogadron laki	Avogadro's law
Kirves	Axe
Aksiooma	Axiom
Aksoni	Axon
Ajatolla	Ayatollah
Ayn Rand	Ayn Rand
Azerbaidžan	Azerbaijan
Luokka:Azerbaidžan	Azerbaijan
Atsimuutti	Azimuth
Azorit	Azores
Asteekit	Aztec
Atsuriitti	Azurite
B	B
BASIC	BASIC
Baal	Baal
Paviaanit	Baboon
Babylon	Babylon
Babylonia	Babylonia
Backgammon	Backgammon
Bakteerit	Bacteria
Luokka:Bakteerit	Bacteria
Bakteriofagi	Bacteriophage
Sulkapallo	Badminton
Baffininlahti	Baffin Bay
Baffininsaari	Baffin Island
Bagdad	Baghdad
Luokka:Bahama	Bahamas
Bahrain	Bahrain
Luokka:Bahrain	Bahrain
Baja California	Baja California
Baklava	Baklava
Baku	Baku
Balalaikka	Balalaika
Tase	Balance sheet
Balder	Baldr
Baleaarit	Balearic Islands
Hetulavalaat	Baleen whale
Bali	Bali
Balkanvuoret	Balkan Mountains
Balkanin sodat	Balkan Wars
Balkan	Balkans
Pallo (peliväline)	Ball
Baletti	Ballet
Luokka:Baletti	Ballet
Ballistinen ohjus	Ballistic missile
Mustekynä	Ballpoint pen
Itämeri	Baltic Sea
Baltimore	Baltimore
Bamako	Bamako
Bambut	Bamboo
Ruokabanaani	Banana
Banaanivaltio	Banana republic
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesh
Luokka:Bangladesh	Bangladesh
Bangui	Bangui
Banjul	Banjul
Pankki	Bank
Seteli	Banknote
Luokka:Pankit	Banks
Kaste	Baptism
Baptismi	Baptist
Baari	Bar (unit)
Barbados	Barbados
Luokka:Barbados	Barbados
Barbaari	Barbarian
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Luokka:Barcelona	Barcelona
Barentsinmeri	Barents Sea
Bari (kaupunki)	Bari
Barium	Barium
Ohra	Barley
Tornipöllö	Barn Owl
Haarapääsky	Barn Swallow
Ilmapuntari	Barometer
Paroni	Baron
Barokki	Baroque
Barranquilla	Barranquilla
Barreli	Barrel (unit)
Baryoni	Baryon
Basaltti	Basalt
Emäs	Base (chemistry)
Baseball	Baseball
Luokka:Baseball	Baseball
Basel	Basel
Bash	Bash
Kantasienet	Basidiomycota
Maustebasilika	Basil
Basileios Suuri	Basil of Caesarea
Basilika (arkkitehtuuri)	Basilica
Basilicata	Basilicata
Basiliskos	Basiliscus
Basiliski	Basilisk
Koripallo	Basketball
Luokka:Koripallo	Basketball
Basra	Basra
Bassokitara	Bass guitar
Basse-Normandie	Basse-Normandie
Basseterre	Basseterre
Fagotti	Bassoon
Bastet	Bast (mythology)
Bastilji	Bastille
Lepakot	Bat
Bath	Bath
Batman	Batman
Baton Rouge	Baton Rouge
Luokka:Lepakot	Bats
Pataljoona	Battalion
Paristo	Battery (electricity)
Austerlitzin taistelu	Battle of Austerlitz
Taistelu Britanniasta	Battle of Britain
Hastingsin taistelu	Battle of Hastings
Lepanton taistelu	Battle of Lepanto (1571)
Marathonin taistelu	Battle of Marathon
Midwayn taistelu	Battle of Midway
Thermopylain taistelu	Battle of Thermopylae
Trafalgarin taistelu	Battle of Trafalgar
Verdunin taistelu	Battle of Verdun
Waterloon taistelu	Battle of Waterloo
Ardennien taistelu	Battle of the Bulge
Sommen taistelu	Battle of the Somme
Taistelulaiva	Battleship
