تَّكَاثُر (ttakāṯur)‎, Noun
تِلْقَآء (tilqaʾāʾ)‎, Noun
تِلْكُم (tilkum)‎, Demonstrative pronoun
تَّمَاثِيل (ttamāṯīl)‎, Noun
تَّنُّور (ttannūr)‎, Noun
تَوْفِيق (tawfīq)‎, Noun
ثَابِت (ṯābit)‎, Noun
ثَالِث (ṯāliṯ)‎, Noun
ثَانِى‎, Noun
ثُعْبَان (ṯuʿbān)‎, Noun
ثُلَٰث (ṯulāṯ)‎, Noun
جُبّ (jubb)‎, Noun
جِبِلَّة (jibilla)‎, Noun
جِثِيّ (jiṯiyy)‎, Noun
جِدَار (jidār)‎, Noun
جِدَال (jidāl)‎, Noun
جَدَل (jadal)‎, Noun
جَرَاد (jarād)‎, Noun
جُرُز (juruz)‎, Adjective
جِسْم (jism)‎, Noun
جَلَٰل (jalāl)‎, Noun
جَلْدَة (jalda)‎, Noun
جُنَّة (junna)‎, Noun
جَهَاز (jahāz)‎, Noun
جَوَار (jawār)‎, Adjective
حَٰسِبِين (ḥāsibīn)‎, Noun
حَٰش (ḥāš)‎, Noun
حَٰفِظَٰت (ḥāfiẓāt)‎, Noun
حَامِيَة (ḥāmiya)‎, Adjective
حَجَر (ḥajar)‎, Noun
حَذَر (ḥaḏar)‎, Noun
حُرّ (ḥurr)‎, Noun
حُرُمَٰت (ḥurumāt)‎, Noun
حُزْن (ḥuzn)‎, Noun
حَشْر (ḥašr)‎, Noun
حَطَب (ḥaṭab)‎, Noun
حُطَمَة (ḥuṭama)‎, Noun
حِطَّة (ḥiṭṭa)‎, Noun
حَفِيّ (ḥafiyy)‎, Noun
حَمِيَّة (ḥamiyya)‎, Noun
حَنَاجِر (ḥanājir)‎, Noun
حَيْث (ḥayṯ)‎, Conditional particle
خَآئِنَة (ḵaʾāʾina)‎, Noun
خَاسِئ (ḵāsiʾ)‎, Adjective
خَال (ḵāl)‎, Noun
خَالِص (ḵāliṣ)‎, Noun
خَٰمِدِين (ḵāmidīn)‎, Noun
خَٰمِسَة (ḵāmisa)‎, Noun
خَبَال (ḵabāl)‎, Noun
خُبْر (ḵubr)‎, Noun
خَبَر (ḵabar)‎, Noun
خَبِيثَٰت (ḵabīṯāt)‎, Noun
خَرْج (ḵarj)‎, Noun
خَرْدَل (ḵardal)‎, Noun
خُسْر (ḵusr)‎, Noun
خَطِيٓـَٰٔت‎, Noun
خَطَـٔ‎, Noun
خَفِىّ‎, Adjective
خُفْيَة (ḵufya)‎, Noun
خَلَّٰق (ḵallāq)‎, Noun
خُلُق (ḵuluq)‎, Noun
خَمْسِين (ḵamsīn)‎, Noun
خُوَار (ḵuwār)‎, Noun
خَوَالِف (ḵawālif)‎, Noun
خَوْض (ḵawḍ)‎, Noun
خِيَانَة (ḵiyāna)‎, Noun
خِيَرَة (ḵiyara)‎, Noun
خَيْط (ḵayṭ)‎, Noun
دَآئِم (daʾāʾim)‎, Noun
دَٰخِلُون (dāḵilūn)‎, Noun
دَافِع (dāfiʿ)‎, Noun
دَانِيَة (dāniya)‎, Noun
دُخَان (duḵān)‎, Noun
دَخَل (daḵal)‎, Noun
دَفْع (dafʿ)‎, Noun
دَّمْع (ddamʿ)‎, Noun
دَّهْر (ddahr)‎, Noun
دِيَة (diya)‎, Noun
ذَآئِقُوا (ḏaʾāʾiqū)‎, Noun
ذَّٰكِرِين (ḏḏākirīn)‎, Noun
ذُبَاب (ḏubāb)‎, Noun
ذِرَاع (ḏirāʿ)‎, Noun
ذِمَّة (ḏimma)‎, Noun
ذَنُوب (ḏanūb)‎, Noun
ذُو (ḏū)‎, Location adverb
رَابِع (rābiʿ)‎, Noun
رَّٰسِخُون (rrāsiḵūn)‎, Noun
رَاضِيَة (rāḍiya)‎, Adjective
رَاضِيَة (rāḍiya)‎, Noun
رَٰعُون (rāʿūn)‎, Noun
رَأْفَة (raʾfa)‎, Noun
رَأْى‎, Noun
رُبَٰع (rubāʿ)‎, Noun
